destination_id,destination_name,women_safety_score,police_support,medical_support,emergency_support,transport_availability,network_availability,lighting,safe_stay,sanitary_facilities,women_specific_facilities,safety_notes,safety_source,safety_source_url,safety_year,safety_data_type,safety_confidence
BV-ASI-0103,Piprahwa & Ganwaria,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0104,Purana Qila,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0105,Qutub Minar,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0106,Raigad Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0107,Rajarani Temple,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0108,Ram Bagh,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0109,"Ranghar Pavillion, Jaisagar",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0110,Rani Jhansi Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0111,"Rani Ki-Vav, Patan",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0112,Rani Lakshmi Bai Mahal,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0113,Red Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0114,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0115,Residency Building,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0116,"Rock-cut Jain Temple, Sittannavasasl",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0117,Rock-cut Temples and Sculptures,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0118,Roopmati's Pavilion,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0119,"Rudabai Step Well, Adalaj",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0120,"Ruined Fort, kangra",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0121,Ruins of Buddhist Temples and Images lalitgiri,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0122,Safdarjung Tomb,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0123,Shaniwarwada,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0124,Sheikh Chilli's Tomb,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0125,Sher Shah's Tomb,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0126,Site of Sahet mahet,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0127,Sultanghari Tomb,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0128,"Sun Temple, Konark",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0129,"Sun temple, Modhera",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0130,Suraj Kund,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0131,Taj Mahal,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0132,Temple of Laxman and Old sites including sculptures sirpur,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0133,"Temples & Sculpture Shed, lakkumdi",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0134,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0135,"The palace situated in the fort, Burhanpur",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0136,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0137,Tirumalai Nayak's Palace Srivilliputhur,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0138,Tomb of Lal Khan,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0139,Tomb of Rabia Durani (Bibi ka Maqbara),NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0140,Tughluqabad,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0141,Undavalli caves,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0142,Upper Fort Aguada,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0143,Warangal,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0144,"Western Group of Temples, Khajuraho",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
